SNO,FileName,Index,KeyHash,Key,Translation
4080,AttributeDescriptions,215,2443467118,Resource_Regen_Bonus_Percent,毎秒の{VALUE1}回復量[{VALUE2}*100|1%|]
4080,AttributeDescriptions,306,3486749529,Resource_Regen_Per_Second,{VALUE1}回復量[{VALUE2}|~|]
4280,UIToolTips,437,3380116078,Resource_Type_Fury,怒気
4280,UIToolTips,438,3380345701,Resource_Type_Mana,マナ
4280,UIToolTips,439,661939299,Resource_Type_Spirit,精神力
4280,UIToolTips,440,111528146,Resource_Type_Energy,エネルギー
4280,UIToolTips,445,3892248494,Resource_Type_Essence,精髄
4280,UIToolTips,576,4188179471,Resource_Type_Vigor,活力
4280,UIToolTips,677,4050288651,Resource_Type_Enthralled,血の渇き
4280,UIToolTips,679,4189682446,Resource_Type_Wrath,憤怒
4280,UIToolTips,683,2519466349,Resource_Type_Allegiance,支配者
4280,UIToolTips,690,4168919572,Resource_Type_Faith,信念
4280,UIToolTips,700,4189073238,Resource_Type_Dominance,統治力
